Bezirk,Q1 2011,Q3 2012,Q1 2013,Q1 2014,Q3 2014,Q3 2015,Q3 2016,Q1 2017,Q1 2018,Q1 2019
Charlottenburg-Wilmersdorf,1.759,2.328,2.716,2.889,2.965,3.234,3.669,3.846,4.287,4.856
Mitte,2.05,2.849,2.77,3.2,3.332,3.495,3.596,3.83,4.399,4.693
Friedrichshain-Kreuzberg,2.14,2.55,2.55,2.833,3.079,3.396,3.785,3.938,4.155,4.555
Pankow,2.025,2.401,2.6,2.591,2.72,2.941,3.066,3.587,3.931,4.467
Steglitz-Zehlendorf,1.656,2,2.196,2.292,2.375,2.796,2.995,3.301,3.65,4.068
Tempelhof-Schöneberg,1.611,1.895,1.96,2.105,2.239,2.481,3.089,3.308,3.6,4.031
Neukölln,1.109,1.733,1.687,1.997,1.993,2.302,2.75,3.073,3.45,3.758
Lichtenberg,1.406,1.688,2.148,1.959,1.893,1.691,2.133,2.743,3.1,3.585
Reinickendorf,1.214,1.658,1.537,1.714,1.778,1.973,2.253,2.249,2.875,3.053
Treptow-Köpenick,1.32,1.931,1.817,1.895,1.862,1.923,2.264,2.415,2.743,3.013
Spandau,1.049,1.313,1.608,1.75,1.833,1.957,1.959,2,2.291,2.751
Marzahn-Hellersdorf,1.078,1.542,1.276,1.369,1.477,1.627,1.894,2.059,2.357,2.5
